vgchartz_game,twitch_game,similarity_score,match_quality
Star Wars: The Force Unleashed,Strafe,98,Excellent
Saints Row: The Third,Saints Row,215,Poor
The Sims,,0,Poor
Battlefield 3,,0,Poor
Need for Speed: Most Wanted (2012),Need for Speed,299,Poor
Far Cry: Primal,Far Cry: Primal,299,Poor
L.A. Noire,L.A. Noire,175,Poor
Overwatch,Overwatch,191,Poor
Need for Speed (2015),Need for Speed,299,Poor
Tom Clancy's Rainbow Six: Siege,Tom Clancy's Rainbow Six Siege,607,Poor
Skate 3,,0,Poor
Madden NFL 13,,0,Poor
Madden NFL 12,,0,Poor
Call of Duty 3,Call of Duty,259,Poor
LEGO Star Wars II: The Original Trilogy,,0,Poor
Madden NFL 11,,0,Poor
Burnout 3: Takedown,,0,Poor
Mortal Kombat,,0,Poor
Medal of Honor,,0,Poor
Call of Duty 2: Big Red One,Call of Duty 2,303,Poor
Final Fantasy XIII-2,Final Fantasy XII,379,Poor
Medal of Honor Heroes,,0,Poor
Guitar Hero: World Tour,,0,Poor
WWE SmackDown! Shut Your Mouth,,0,Poor
Tom Clancy's Splinter Cell,,0,Poor
Need for Speed: Shift,Need for Speed,299,Poor
Hannah Montana,,0,Poor
Medal of Honor,,0,Poor
NBA 2K12,,0,Poor
Midnight Club: Street Racing,iRacing,120,Poor
NBA 2K19,NBA 2K19,175,Poor
NBA 2K13,,0,Poor
FIFA Soccer 10,,0,Poor
ESPN NFL 2K5,,0,Poor
Madden NFL 18,Madden NFL 18,279,Poor
LittleBigPlanet,,0,Poor
Harry Potter and the Chamber of Secrets,Anthem,111,Poor
Grand Theft Auto: Episodes from Liberty City,The Isle,122,Poor
Streets of Rage,,0,Poor
FIFA Soccer 09,,0,Poor
NBA Live 2005,Live,83,Fair
Tom Clancy's The Division,Tom Clancy's The Division,503,Poor
LEGO Star Wars: The Complete Saga,LEGO Star Wars: The Complete Saga,671,Poor
WWE SmackDown vs. RAW 2007,,0,Poor
Skylanders Giants,Ylands,106,Poor
Madden NFL 08,,0,Poor
NBA 2K14,,0,Poor
Dragon Age: Origins,Dragon Age: Origins,379,Poor
Hot Shots Golf,,0,Poor
FIFA 16,FIFA 16,155,Poor
Madden NFL 09,,0,Poor
Crazy Taxi,,0,Poor
Tomb Raider (2013),Tomb Raider II,279,Poor
Midnight Club: Los Angeles,,0,Poor
PES 2009: Pro Evolution Soccer,,0,Poor
Marvel: Ultimate Alliance,,0,Poor
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Grand Theft Auto: Vice City,539,Poor
Mortal Kombat: Deadly Alliance,,0,Poor
Game Party,,0,Poor
NBA 2K15,NBA 2K15,175,Poor
Saints Row: The Third,Saints Row,215,Poor
Tomb Raider: The Last Revelation,Revelation,203,Poor
Madden NFL 16,Madden NFL 16,279,Poor
Rock Band,,0,Poor
Assassin's Creed Origins,Assassin's Creed: Origins,479,Poor
Minecraft,Minecraft,191,Poor
Pure,,0,Poor
LEGO Harry Potter: Years 1-4,,0,Poor
Dying Light,Dying Light,235,Poor
Madden NFL 17,Madden NFL 17,279,Poor
Twisted Metal 2,,0,Poor
uDraw Studio,,0,Poor
The Sims: Bustin' Out,,0,Poor
Tom Clancy's Rainbow Six: Vegas 2,Casino,87,Good
Sonic Adventure,,0,Poor
Need for Speed Carbon: Own the City,Need for Speed,299,Poor
Halo: Combat Evolved Anniversary,Halo: Combat Evolved,399,Poor
Kinect: Disneyland Adventures,Ylands,98,Excellent
